trip_id,start_time,end_time,headway_secs,exact_times
weekend_T7740_T774002_1,07:10:00,07:45:00,2100,0
weekend_T7740_T774002_2,08:30:00,09:15:00,2700,0
weekend_T7740_T774002_3,10:00:00,13:00:00,2700,0
weekend_T7740_T774002_4,13:45:00,20:30:00,2700,0
weekend_T7740_T774002_5,22:00:00,23:30:00,5400,0
weekend_T7890_T789002_0,06:00:00,19:40:00,1200,0
weekend_T7890_T789002_1,20:00:00,23:30:00,1800,0
weekday_T7530_T753002_0,05:45:00,06:45:00,3600,0
weekday_T7530_T753002_1,07:30:00,09:00:00,2700,0
weekday_T7530_T753002_2,10:00:00,16:00:00,3600,0
weekday_T7530_T753002_3,16:45:00,19:00:00,2700,0
weekday_T7530_T753002_4,20:00:00,20:30:00,3600,0
weekday_T7530_T753002_5,21:15:00,22:00:00,4500,0
weekday_T7530_T753002_6,22:30:00,23:30:00,3600,0
weekday_S0040_S004002_0,06:00:00,07:40:00,1200,0
weekday_S0040_S004002_1,08:10:00,08:30:00,1200,0
weekday_S0040_S004002_2,09:00:00,21:00:00,1800,0
weekend_S0040_S004002_0,06:00:00,07:40:00,1200,0
weekend_S0040_S004002_1,08:10:00,08:30:00,1200,0
weekend_S0040_S004002_2,09:00:00,21:00:00,1800,0
weekday_S1030_S103002_0,06:00:00,21:00:00,1800,0
weekday_S1040_S104002_0,06:00:00,19:30:00,1800,0
weekday_S1040_S104002_1,20:00:00,21:00:00,3600,0
weekend_S1040_S104002_0,06:00:00,19:30:00,1800,0
weekend_S1040_S104002_1,20:00:00,21:00:00,3600,0
weekday_S1050_S105002_0,06:00:00,08:40:00,1200,0
weekday_S1050_S105002_1,09:00:00,20:00:00,1800,0
weekday_S1050_S105002_2,21:00:00,21:30:00,1800,0
weekend_S1050_S105002_0,06:00:00,08:40:00,1200,0
weekend_S1050_S105002_1,09:00:00,20:00:00,1800,0
weekend_S1050_S105002_2,21:00:00,21:30:00,1800,0
weekday_S1140_S114002_0,06:00:00,06:40:00,1200,0
weekday_S1140_S114002_1,07:00:00,19:00:00,1800,0
weekday_S1140_S114002_2,19:40:00,20:10:00,1800,0
weekday_S1140_S114002_3,21:00:00,21:20:00,3000,0
weekend_S1030_S103002_0,06:00:00,21:00:00,1800,0
weekend_S1140_S114002_0,06:00:00,06:40:00,1200,0
weekend_S1140_S114002_1,07:00:00,19:00:00,1800,0
weekend_S1140_S114002_2,19:40:00,20:10:00,1800,0
weekend_T3030_T303002_0,06:30:00,19:30:00,3600,0
weekday_T3030_T303002_0,06:30:00,19:30:00,3600,0
weekend_T3510_T351002_0,05:30:00,06:00:00,900,0
weekend_T3510_T351002_1,06:00:00,19:30:00,1800,0
weekend_T3510_T351002_2,20:00:00,21:00:00,3600,0
weekend_T3510_T351002_3,21:30:00,22:30:00,3600,0
weekend_T3510_T351002_4,23:00:00,23:30:00,1800,0
weekday_S0060_S006002_0,06:00:00,07:00:00,3600,0
weekday_S0060_S006002_2,12:00:00,13:00:00,3600,0
weekday_S0060_S006002_4,18:00:00,19:00:00,3600,0
weekend_S0060_S006002_0,06:00:00,07:00:00,3600,0
weekend_S0060_S006002_2,12:00:00,13:00:00,3600,0
weekend_S0060_S006002_4,18:00:00,19:00:00,3600,0
weekday_R0200_R020002_0,06:35:00,08:05:00,1800,0
weekday_R0200_R020002_1,17:35:00,18:05:00,1800,0
weekday_R0200_R020002_2,18:40:00,19:10:00,1800,0
weekday_U4020_U402002_0,05:30:00,07:30:00,3600,0
weekday_U4020_U402002_1,08:25:00,10:30:00,7500,0
weekday_U4020_U402002_2,12:30:00,14:50:00,8400,0
weekday_U4020_U402002_3,16:10:00,17:10:00,3600,0
weekday_U4020_U402002_4,18:30:00,21:40:00,11400,0
weekday_P1010_P101002_0,06:30:00,09:00:00,600,0
weekday_P1010_P101002_1,09:30:00,12:00:00,1800,0
weekday_P1010_P101002_2,12:30:00,16:30:00,1800,0
weekday_P1010_P101002_3,16:40:00,18:00:00,600,0
weekday_P1010_P101002_4,18:30:00,20:00:00,1800,0
weekday_P1020_P102002_0,06:30:00,09:10:00,1200,0
weekday_P1020_P102002_1,09:50:00,12:30:00,2400,0
weekday_P1020_P102002_2,13:10:00,15:50:00,2400,0
weekday_P1020_P102002_3,16:20:00,18:20:00,1200,0
weekday_P1020_P102002_4,18:40:00,20:00:00,2400,0
weekend_P1020_P102002_0,07:00:00,09:15:00,2700,0
weekend_P1020_P102002_1,10:00:00,12:15:00,2700,0
weekend_P1020_P102002_2,13:00:00,16:00:00,2700,0
weekend_P1020_P102002_3,16:45:00,17:30:00,2700,0
weekend_P1020_P102002_4,18:20:00,20:00:00,3000,0
weekday_P1030_P103002_0,06:30:00,09:10:00,1200,0
weekday_P1030_P103002_1,09:50:00,13:10:00,2400,0
weekday_P1030_P103002_2,13:50:00,15:50:00,2400,0
weekday_P1030_P103002_3,16:20:00,18:20:00,1200,0
weekday_P1030_P103002_4,18:40:00,20:00:00,2400,0
weekend_P1030_P103002_0,07:00:00,09:15:00,2700,0
weekend_P1030_P103002_1,10:00:00,12:15:00,2700,0
weekend_P1030_P103002_2,13:00:00,16:45:00,2700,0
weekend_P1030_P103002_3,17:30:00,20:00:00,3000,0
weekday_P0020_P002002_0,06:00:00,08:00:00,1200,0
weekday_P0020_P002002_1,08:25:00,15:30:00,1500,0
weekday_P0020_P002002_2,16:00:00,21:00:00,1800,0
weekend_P0020_P002002_0,06:00:00,09:00:00,1800,0
weekend_P0020_P002002_1,09:35:00,18:55:00,2100,0
weekend_P0020_P002002_2,19:30:00,21:00:00,1800,0
weekday_P0030_P003002_0,06:00:00,08:00:00,1200,0
weekday_P0030_P003002_1,08:25:00,19:40:00,1500,0
weekday_P0030_P003002_2,20:00:00,21:00:00,1200,0
weekend_P0030_P003002_0,06:00:00,09:00:00,1800,0
weekend_P0030_P003002_1,09:35:00,18:30:00,2100,0
weekend_P0030_P003002_2,18:55:00,19:00:00,1800,0
weekend_P0030_P003002_3,19:30:00,21:00:00,1800,0
weekday_P0040_P004002_0,06:00:00,08:30:00,1500,0
weekday_P0040_P004002_1,09:00:00,21:00:00,1800,0
weekend_P0040_P004002_0,06:00:00,08:30:00,1500,0
weekend_P0040_P004002_1,09:00:00,21:00:00,1800,0
weekday_P0050_P005002_0,06:00:00,08:00:00,1800,0
weekday_P0050_P005002_1,08:40:00,18:00:00,2400,0
weekday_P0050_P005002_2,18:45:00,21:00:00,2700,0
weekend_P0050_P005002_0,06:00:00,07:30:00,2700,0
weekend_P0050_P005002_1,08:30:00,16:30:00,3600,0
weekend_P0050_P005002_2,17:45:00,18:45:00,3600,0
weekend_P0050_P005002_3,20:00:00,21:00:00,3600,0
weekday_P0060_P006002_0,06:00:00,07:00:00,1200,0
weekday_P0060_P006002_1,07:30:00,16:00:00,1800,0
weekday_P0060_P006002_2,16:35:00,18:55:00,2100,0
weekday_P0060_P006002_3,19:30:00,21:00:00,1800,0
weekend_P0060_P006002_0,06:00:00,09:45:00,2700,0
weekend_P0060_P006002_1,10:30:00,14:40:00,3000,0
weekend_P0060_P006002_2,15:30:00,18:30:00,2700,0
weekend_P0060_P006002_3,19:20:00,21:00:00,3000,0
weekday_P1040_P104002_0,06:30:00,09:10:00,1200,0
weekday_P1040_P104002_1,09:50:00,12:30:00,2400,0
weekday_P1040_P104002_2,13:10:00,15:50:00,2400,0
weekday_P1040_P104002_3,16:20:00,18:20:00,1200,0
weekday_P1040_P104002_4,18:40:00,20:00:00,2400,0
weekend_P1040_P104002_0,07:00:00,08:30:00,2700,0
weekend_P1040_P104002_1,09:15:00,12:15:00,2700,0
weekend_P1040_P104002_2,13:00:00,16:45:00,2700,0
weekend_P1040_P104002_3,17:30:00,20:00:00,3000,0
